reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Thompson Creek,123377_ds_ef2,0,0,11,2.4,2.4,3.5,,,,,2.766666666666667,metre tape,2,2.4,3,,,,,2.466666666666667,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,,,7.2,recording meter,272,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,sinuous,,,,,,,,,,,Small pool at top end of site.14:34:02
12,Tributary to Houston Tommy Creek,198942_us,0,0,12,2.7,1.9,1.4,1.8,1.9,1.7,,1.9,metre tape,1.7,1.7,1.4,1.6,1.4,1.3,,1.5166666666666668,metre tape,0.4,0.5,,,,,,0.45,metre stick,0.3,0.4,,,0.35,metre stick,4,3.5,4,,0.03833333333333334,clinometer,moderate,,6.2,recording meter,147,recording meter,8.699999999999998,pH meter (general),Clear,abundant,sub-dominant,dominant,none,sub-dominant,trace,sub-dominant,trace,21-40%,few,evenly distributed,algae,V-shaped,gravels,fines,mixed forest,young forest,V-shaped,gravels,fines,mixed forest,mature forest,gravels,fines,,,riffle-pool,irregular meanders,Decoupled,unconfined,bridge,0.2,8,,9,631287,6018315,,"Small channel with moderate flow. Medium habitat value. Gravels are the predominant substrate in the stream and there are many suitable areas for spawning. Very few deep pools therefore not ideal for fish overwintering. The stream forks approximately 200m upstream of the culvert but the channel size remains the same.  There is a big cutblock 50m north of stream,  and a small bridge from the cut block spans the stream near end of survey. Undercut banks are present in most sections of stream. 10:44:37"
13,Tributary to Houston Tommy Creek,198934_ds,0,0,13,2.4,2.9,3.7,3.6,3.4,3.4,,3.233333333333333,metre tape,2.2,2.2,2.1,2,1.9,2.1,,2.083333333333333,metre tape,0.5,0.4,,,,,,0.45,metre stick,0.4,,,,0.4,metre stick,4,2,2,,0.026666666666666665,clinometer,moderate,,6,recording meter,147,recording meter,8.699999999999998,pH meter (general),Clear,moderate,sub-dominant,dominant,trace,sub-dominant,trace,sub-dominant,none,1-20%,abundant,clumped,Vascular plants,sloping,cobbles,gravels,mixed forest,mature forest,V-shaped,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,irregular meanders,Partially Coupled,unconfined,,,,,,,,,High habitat value. Wide channel with good flow and abundant cover. Few areas with gravel patches suitable for spawning. A lot of woody debris protruding into the bankfull channel and adding complexity. Some areas with deep pools suitable for overwintering. Fish spotted in deep outlet pool of culvert. 12:48:01
14,Tributary to Coal Creek,8525_ds_ef1,0,0,14,2.3,1.6,1.6,,,,,1.8333333333333333,metre tape,2.2,1.6,1.6,,,,,1.8,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,,,,0.01,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,trace,trace,dominant,trace,trace,none,trace,none,1-20%,few,evenly distributed,none,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,Shallow pool habitat. Some functional large woody debris at the end of the site. Stream is moderately turbid and visibility is relatively low. 11:09:56
15,Tributary to Coal Creek,8525_ds_ef2,0,0,15,1.5,3.1,1.9,,,,,2.1666666666666665,metre tape,1.3,1.5,1.6,,,,,1.4666666666666668,metre tape,0.3,,,,,,,0.3,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished one section at bottom of site and one pool under log at top end of site. Middle section was very small and not fishable.12:15:17
16,Tributary to Coal Creek,8525_ds_ef3,0,0,16,1.3,1.2,1.5,,,,,1.3333333333333333,metre tape,1.2,0.9,1.3,,,,,1.1333333333333335,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,moderate,trace,none,trace,none,none,dominant,sub-dominant,1-20%,none,not applicable,vascular plants,,,,,,,,,,,gravels,fines,,,riffle-pool,straight,,,,,,,,,,,Sampled from ~15m downstream of culvert up to the outlet pool. Two fish were caught in the outlet pool. Very small channel downstream. Moderate turbidity so hard to see fish.12:51:52
17,Tributary to Coal Creek,8525_us_ef1,0,0,17,1.6,1.8,1.7,,,,,1.7000000000000002,metre tape,1.6,1.5,1.4,,,,,1.5,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,moderate,sub-dominant,sub-dominant,none,trace,trace,dominant,none,1-20%,few,evenly distributed,none,,,,,,,,,,,fines,gravels,,,riffle-pool,irregular meanders,,,,,,,,,,,"Fished 4m squared pool at bottom end of site. Stream is very narrow upstream of pool. Another shallow pool under large woody debris was fished upstream, approx 3m squared. A final small 3m squared section near woody debris was fished approx 20n upstream. 14:09:44"
18,Tributary to Coal Creek,8525_us_ef2,0,0,18,2.5,1.4,2.8,1.7,0.9,,,1.86,metre tape,1.5,1,2.7,0.9,0.67,,,1.354,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA15:52:11
19,Tributary to Coal Creek,8525_us_ef3,0,0,19,1.8,1.7,2.2,,,,,1.9,metre tape,1.5,1.4,2,,,,,1.6333333333333335,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,moderate,sub-dominant,trace,none,trace,trace,sub-dominant,none,1-20%,few,clumped,none,,,,,,,,,,,gravels,fines,,,riffle-pool,sinuous,,,,,,,,,,,"Site length is 25m but only 3 small sub sections were electroshocked,  approximately 4m squared.  The remaining site length had too small of a channel and too much woody debris blocking the stream to sample.  Fiss site card had site length = 25m, but given the average wetted channel width of 1.63 m,  an area of 4m squared in impossible. Changed the site length to 2m to attain an area of 4m squared.""16:39:59"
20,Tributary to McDonell Lake,8478_ds_ef1,0,0,20,3,2.6,2.6,2.2,,,,2.6,metre tape,3,1.9,2.4,1.6,,,,2.225,metre tape,,,,,,,,,metre stick,,,,,,metre stick,10,,,,0.1,clinometer,high,,5.6,recording meter,153,recording meter,7.4,pH meter (general),clear,moderate,trace,sub-dominant,trace,sub-dominant,trace,dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,mixed forest,mature forest,sloping,gravels,,deciduous forest,young forest,cobbles,gravels,,,cascade-pool,irregular meanders,Decoupled,unconfined,,,,,,,,,2 fish were caught at the bottom end of the site.11:17:08
21,Tributary to McDonell Lake,8478_ds_ef2,0,0,21,2.8,2.9,1.9,3,,,,2.65,metre tape,2.2,1.8,1.6,1.5,,,,1.775,metre tape,0.4,,,,,,,0.4,metre stick,,,,,,metre stick,8,7,,,0.07499999999999998,clinometer,high,,5.6,recording meter,153,recording meter,7.4,pH meter (general),clear,moderate,trace,sub-dominant,trace,sub-dominant,none,dominant,none,21-40%,few,clumped,none,undercut,cobbles,gravels,mixed forest,mature forest,undercut,gravels,cobbles,deciduous forest,young forest,cobbles,gravels,,,cascade-pool,irregular meanders,,,,,,,,,,,Steep gradient and high flowing stream. Some gravel present suitable for spawning. 13:09:28
22,Tributary to McDonell Lake,8478_ds_ef3,0,0,22,2.3,2.1,2.4,,,,,2.266666666666667,metre tape,1.9,1.7,1.9,,,,,1.8333333333333333,metre tape,0.4,,,,,,,0.4,metre stick,,,,,,metre stick,9,8,,,0.085,clinometer,high,,5.6,recording meter,153,recording meter,7.4,pH meter (general),clear,moderate,trace,sub-dominant,trace,sub-dominant,trace,dominant,none,1-20%,few,clumped,,V-shaped,cobbles,,mixed forest,young forest,undercut,gravels,,deciduous forest,young forest,cobbles,gravels,,,cascade-pool,sinuous,,,,,,,,,,,"Steep stream with some smaller cascades with shallow outlet pools. High flow, some patches of gravel present. Abundant overhanging cover.13:26:55"
23,Tributary to McDonell Lake,8478_us,0,0,23,2.3,2.3,2.7,3.2,2,2,3,2.5,metre tape,2.2,1.2,2,1.7,1.4,1.7,2.6,1.8285714285714283,metre tape,0.4,0.4,0.6,,,,,0.46666666666666656,metre stick,0.35,0.3,0.5,,0.3833333333333333,metre stick,10,9,11,,0.1,clinometer,high,,4.9,recording meter,94,recording meter,7.4,pH meter (general),clear,moderate,sub-dominant,dominant,sub-dominant,trace,trace,trace,none,1-20%,abundant,clumped,none,sloping,gravels,cobbles,coniferous forest,mature forest,sloping,cobbles,gravels,coniferous forest,mature forest,cobbles,gravels,,,cascade-pool,irregular meanders,Partially Coupled,occasionally confined,cascade or Chute,,,,,,,,Steep system with high flow and periodic cascades (<1m in height). Few deep pools and areas with suitable spawning gravels. Approximately 400m upstream of FSR steam gradients increase to 20% which likely indicates upstream limit of fish distribution.  Dolly varden captured with some fish showing deteriorating purple gill plates and unusual round black spots.  14:25:27
24,Tributary to McDonell Lake,8547_us,0,0,24,3.1,1.8,1.8,1.6,1.5,1.6,,1.9,metre tape,0.6,1.2,1,1.8,1.6,0.9,,1.1833333333333331,metre tape,0.4,0.5,,,,,,0.45,metre stick,0.4,0.5,,,0.45,metre stick,10,3.5,5,4,0.05625,clinometer,moderate,,4.9,recording meter,94,recording meter,8.099999999999998,pH meter (general),clear,moderate,dominant,sub-dominant,none,sub-dominant,none,sub-dominant,none,1-20%,few,clumped,none,sloping,cobbles,gravels,mixed forest,mature forest,undercut,cobbles,gravels,mixed forest,young forest,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,unconfined,,,,,,,,,"Moderate flowing stream, small channel. Very few areas with good spawning gravels. Few deep pools. Abundant undercut banks providing cover for fish. Woody debris is frequent and often functional and adding complexity. Moderately steep stream but no barriers present. Small fry spotted approx 100m upstream of culvert. 10:41:30"
25,Tributary to McDonell Lake,8547_ds_ef1,0,0,25,1.8,3.3,2.1,,,,,2.4,metre tape,2,1.2,1.5,,,,,1.5666666666666669,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,low,,5.9,recording meter,113,recording meter,7.9,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,1 pool at top end of site where most fish were caught. Steep valley habitat with small channel14:15:52
26,Tributary to McDonell Lake,8547_ds_ef2,0,0,26,2.1,1.8,,,,,,1.95,metre tape,1.2,1.5,,,,,,1.35,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,5.9,recording meter,113,recording meter,7.9,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good flow with periodic shallow pools.14:26:23
27,Tributary to McDonell Lake,8547_ds_ef3,0,0,27,2,,,,,,,2,metre tape,1.9,,,,,,,1.9,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,5.9,recording meter,113,recording meter,7.9,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished outlet pool.15:12:35
28,Tributary to McDonell Lake,8547_us_ef1,0,0,28,1.9,1.7,1.8,,,,,1.7999999999999998,metre tape,0.9,1.1,1.2,,,,,1.0666666666666669,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3.5,,,,0.035,clinometer,moderate,,4.9,recording meter,94,recording meter,8.099999999999998,pH meter (general),clear,moderate,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,,,,,,,,,,,,"Small stream channel, approx 20m upstream of inlet.15:42:11"
29,Tributary to McDonell Lake,8547_us_ef2,0,0,29,1.7,1.7,2,,,,,1.8,metre tape,1.6,0.5,1.2,,,,,1.1,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,moderate,,4.9,recording meter,94,recording meter,8.099999999999998,pH meter (general),clear,moderate,dominant,sub-dominant,trace,sub-dominant,trace,trace,none,1-20%,few,evenly distributed,,,,,,,,,,,,cobbles,fines,,,riffle-pool,sinuous,,,,,,,,,,,Small pool at bottom of site with larger fish caught.15:51:17
30,Tributary to McDonell Lake,8547_us_ef3,0,0,30,1.9,1.7,2.8,,,,,2.1333333333333333,metre tape,1.7,1.1,2,,,,,1.6,metre tape,,,,,,,,,metre stick,,,,,,metre stick,4.5,,,,0.045,clinometer,moderate,,4.9,recording meter,94,recording meter,8.099999999999998,pH meter (general),clear,moderate,sub-dominant,dominant,none,sub-dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,none,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,One pool at bottom of site with fish caught and one shallow pool at top end of site with fish. Wetted channel is narrower in the middle of site with no fish. 16:35:55
31,Dale Creek,198215_ds_ef1,0,0,31,5.1,,,,,,,5.1,metre tape,5.1,,,,,,,5.1,metre tape,0.7,,,,,,,0.7,metre stick,,,,,,metre stick,,,,,,clinometer,high,,9.9,recording meter,282,recording meter,,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,cobbles,boulders,,,,,,,,,,,,,,,"Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22"
32,Dale Creek,198215_ds_ef2,0,0,32,4.3,,,,,,,4.3,metre tape,4.1,,,,,,,4.1,metre tape,0.4,,,,,,,0.4,metre stick,,,,,,metre stick,,,,,,clinometer,high,,9.9,recording meter,282,recording meter,,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fished pool below 0.7m high block step,  40m downstream of the culvert. 13:37:42"
33,Dale Creek,198215_ds_ef3,0,0,33,3.1,3.2,2.9,,,,,3.066666666666667,metre tape,2.2,1.9,2,,,,,2.0333333333333328,metre tape,,,,,,,,,metre stick,,,,,,metre stick,5,,,,0.05,clinometer,high,,9.9,recording meter,282,recording meter,,pH meter (general),clear,moderate,trace,trace,sub-dominant,none,none,dominant,none,1-20%,none,not applicable,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,Fished a shallow riffle pool habitat just upstream of confluence with Kispiox River. 13:54:30
34,Dale Creek,198215_us_ef1,0,0,34,3.7,3.8,3.8,,,,,3.766666666666667,metre tape,2.6,2.1,2.2,,,,,2.3000000000000003,metre tape,,,,,,,,,metre stick,,,,,,metre stick,4,,,,0.04,clinometer,moderate,,9.9,recording meter,282,recording meter,,pH meter (general),clear,moderate,sub-dominant,trace,sub-dominant,none,none,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,straight,,,,,,,,,,,"Fished a shallow riffle pool habitat,  approx 10m upstream of culvert inlet.Wide channel with moderate flow. 14:54:07"
35,Dale Creek,198215_us_ef2,0,0,35,3.2,3.5,3.4,,,,,3.3666666666666667,metre tape,1.5,1.2,1.9,,,,,1.5333333333333332,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,9.9,recording meter,282,recording meter,,pH meter (general),clear,moderate,trace,trace,sub-dominant,none,trace,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,Wide channel with riffle pool habitat. Two shallow pools present and fish were caught. 15:24:17
36,Dale Creek,198215_us_ef3,0,0,36,3.7,3.5,3.6,,,,,3.6,metre tape,2.1,2.1,1.8,,,,,2,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,9.9,recording meter,282,recording meter,,pH meter (general),clear,moderate,trace,trace,sub-dominant,none,trace,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,straight,,,,,,,,,,,"Shallow riffle pool, stream gets steeper at top end of site.15:31:44"
37,Tributary to Skeena River,198217_us_ef1,0,0,37,3.8,4.1,3.6,,,,,3.8333333333333335,metre tape,2.9,3.5,3.1,,,,,3.1666666666666665,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,high,,9.4,recording meter,172,recording meter,7.4,pH meter (general),clear,trace,trace,sub-dominant,sub-dominant,none,none,trace,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,,,,,,,,,,,,Wide channel with moderate flow. Approx 30m downstream of weir.11:29:05
38,Tributary to Skeena River,198217_us_ef2,0,0,38,3.5,4.6,4.2,,,,,4.1000000000000005,metre tape,3.2,4,3.7,,,,,3.633333333333333,metre tape,0.5,,,,,,,0.5,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,9.4,recording meter,172,recording meter,7.4,pH meter (general),clear,trace,trace,trace,sub-dominant,trace,trace,trace,none,1-20%,few,evenly distributed,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,,,,,,,,,,,,Approximately 30m downstream of weir. Pool at top end of site.11:35:16
39,Tributary to Skeena River,198217_us_ef3,0,0,39,4.6,3.4,3.7,,,,,3.9,metre tape,3.7,2.3,2.6,,,,,2.8666666666666667,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,9.4,recording meter,172,recording meter,7.4,pH meter (general),clear,moderate,sub-dominant,sub-dominant,sub-dominant,none,sub-dominant,trace,none,0,,,,,,,,,,,,,,cobbles,boulders,,,riffle-pool,,,,,,,,,,,,Directly downstream of weir. Big deep outlet pool at foot of weir.11:46:12
40,Tributary to Skeena River,198217_ds_ef1,0,0,40,4.9,4.5,4.3,,,,,4.5666666666666655,metre tape,4,4.2,3.9,,,,,4.033333333333333,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,9.4,recording meter,172,recording meter,7.4,pH meter (general),lightly turbid,moderate,dominant,sub-dominant,none,sub-dominant,none,trace,none,0,none,not applicable,none,,,,,,,,,,,fines,gravels,,,riffle-pool,,,,,,,,,,,,"Fished pool near outlet of pipe.  Pool had muddy,  fine substrate and was lightly turbid.14:07:03"
41,Tributary to Skeena River,198217_ds_ef2,0,0,41,4.3,3.9,3.8,,,,,4,metre tape,3.6,2.9,3.4,,,,,3.3000000000000003,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,9.4,recording meter,172,recording meter,7.4,pH meter (general),lightly turbid,moderate,dominant,trace,none,trace,none,sub-dominant,none,0,few,clumped,none,,,,,,,,,,,gravels,fines,,,riffle-pool,,,,,,,,,,,,Shallow riffle habitat near outlet pool.14:23:29
